id,Judul Berita,Isi Berita,Kategori Berita
60,"Ada Lowongan Kerja PLN Group 2025, Terbuka untuk Lulusan D3-S1",,Pendidikan
61,"Prediksi Cuaca Berbagai Daerah Sepekan ke Depan, Waspada Hujan-Petir!",,Pendidikan
62,"Peringatan-peringatan pada 30 September, Tak Hanya tentang G30S PKI",,Pendidikan
63,"BCA Buka Lowongan Kerja untuk Lulusan Ini, Apa Saja Syaratnya?",,Pendidikan
64,Mengapa Harus Pasang Bendera Setengah Tiang Tiap 30 September? Ini Alasannya,,Pendidikan
65,"Kiat Memilih Mapel Pilihan TKA, Masih Bisa Diganti Sebelum 5 Oktober!",,Pendidikan
66,Nama-nama Pahlawan yang Gugur dalam G30S PKI dan Bagaimana Penangkapannya,,Pendidikan
67,"Disentil Prabowo, Ini Daftar Menteri Kabinet Merah Putih Lulusan S3 atau Doktor",,Pendidikan
68,Dosen Unpad: Dosen Bisa Tahu Mana Tugas Hasil AI dan Bukan,,Pendidikan
69,"Mega Proyek Perikanan Rp 72 T, Pakar UGM Sorot Tantangan Ini",,Pendidikan
70,"Korban G30S PKI: 6 Jenderal, 1 Perwira, Gerwani, hingga Etnis Tionghoa",,Pendidikan
71,"10 Provinsi dengan Persentase Pendaftar TKA Terendah SMA-SMK, Masih Ada Waktu!",,Pendidikan
72,Hari Kesaktian Pancasila 1 Oktober Apakah Libur? Anak Sekolah Cek Dulu!,,Pendidikan
73,"Nilai-Nilai Pancasila: Pengertian, Jenis, dan Contoh yang Mudah Dipahami",,Pendidikan
74,"Menteri Bergelar Doktor Kena Sentil, Prabowo: Kelewatan Kalau Tak Bisa Perbaiki Sistem",,Pendidikan
75,"Video: Kemendikdasmen Bikin Program Instruktur Naik Kelas, Apa Itu?",,Pendidikan
76,Video Alasan Guru Pandeglang Karaoke di Sekolah: Coba TV Bantuan Pemerintah,,Pendidikan
77,Infografis: Ternyata Lulusan Terbanyak di Indonesia dari Bidang Ini!,,Pendidikan
78,"Beragam Cara Mahasiswa Pakai AI, Brainstorming Tugas-Curhat",,Pendidikan
79,Video Tambah Tahu: Makna Nasionalisme di Balik Bendera Setengah Tiang 30 September,,Pendidikan
80,"Perbedaan Hari Kesaktian Pancasila dan Hari Lahir Pancasila, Simak Sejarahnya!",,Pendidikan
81,"10 Negara dengan Kebebasan Pers Terbaik di Dunia, Indonesia Nomor Berapa?",,Pendidikan
82,"20 Contoh Soal dan Jawaban TKA SMA 2025 Bahasa Indonesia Wajib, Kerjakan Yuk!",,Pendidikan
83,"Cerita Nasywa Terpilih Google Student Ambassador 2025, Sisihkan 12 Ribu Pelamar",,Pendidikan
84,"20 Contoh Soal TKA SMA 2025: Bahasa Indonesia, Matematika, dan Bahasa Inggris Wajib",,Pendidikan
85,"Cuaca Pekan Ini: Banyak yang Dilanda Hujan karena Siklon Bualoi, Cek Wilayahmu!",,Pendidikan
86,"Dukung MBG, Kemendikdasmen Siapkan Balai di 16 Provinsi Jadi Kantor PPG",,Pendidikan
87,Adakah Libur Nasional Bulan Oktober 2025? Begini Peraturannya,,Pendidikan
88,"Cara Daftar Tes Kemampuan Akademik (TKA), Murid Harus Persiapkan Hal Ini!",,Pendidikan
89,"Mapel Pilihan TKA Tak Ada Informatika hingga Seni, Kemendikdasmen Respons Begini",,Pendidikan
90,Google Pilih 800 Google Student Ambassador 2025 untuk Bantu Mahasiswa Belajar AI,,Pendidikan
91,Kapan TKA SMA 2025? Cek Jadwal Resmi dari Kemendikdasmen,,Pendidikan
92,Video: Draf Final RUU Sisdiknas Siap Dipaparkan ke Publik Besok,,Pendidikan
93,"Selamat Hari Sarjana Nasional 2025, Ini Sarjana Pertama di Indonesia!",,Pendidikan
94,"Kronologi G30S PKI: Sejarah Singkat, Latar Belakang, dan Awal Lahirnya Orde Baru",,Pendidikan
95,"Hari Pertama MPLS, Siswa Baru SR Terintegrasi 70 Mulai Masuk Asrama",,Pendidikan
96,"Lebih Dari 2,5 Juta Murid Sudah Daftar TKA, Registrasi Ditutup 5 Oktober 2025",,Pendidikan
97,"Bantuan Kuliah S1-S3 Baznas & PP Muhammadiyah, Mulai dari Rp 5 Juta",,Pendidikan
98,Ternyata Ada Bakteri Salmonella di Sampel Makanan Program MBG di Bandung Barat,,Pendidikan
99,"JPPI Ungkap 3 Masalah Fundamental MBG, Apa Saja?",,Pendidikan
100,Apakah Mapel Pilihan TKA Bisa Diganti? Kemendikdasmen Bilang Begini,,Pendidikan
101,"Menurut Studi, Dua Pertiga Perilaku Sehari-hari Kita Ternyata Autopilot",,Pendidikan
102,"Ternyata Tertawa Itu Memang Menular, Ini Penjelasan Ilmiahnya",,Pendidikan
103,"Kepala BGN Dipanggil Prabowo, Diminta Cegah Keracunan MBG dengan 4 Langkah Ini",,Pendidikan
104,"5 Masalah yang Hanya Dimiliki Orang-orang Cerdas, Kamu Mengalami?",,Pendidikan
105,"Pakar Ungkap Dilema Program Magang Nasional: Bantu Fresh Graduate, Tapi...",,Pendidikan
106,"Lowongan Magang Bakti BCA untuk SMA/SMK hingga S1, Ini Syarat IPK-nya",,Pendidikan
107,"Rekrutmen Relawan Pajak 2025 Dibuka, Mahasiswa Ayo Daftar!",,Pendidikan
108,Video: Deretan Fun Fact Sosok BJ Habibie yang Jarang Diketahui,,Pendidikan
109,Serba-serbi Seleksi Administrasi PPG Guru Tertentu: Biaya hingga Batas Pendaftaran,,Pendidikan
110,"Beasiswa AI IDCamp 2025 Dibuka, Kuota 100.000 Akses Belajar Gratis",,Pendidikan
111,"Galeri Nasional Bagi-bagi Tiket Gratis Masuk Museum untuk 7 Golongan, Cek!",,Pendidikan
112,Puluhan Guru Besar ITB Lari 180 Km Jakarta-Bandung untuk Galang Dana Beasiswa-Riset,,Pendidikan
113,"Pendaftaran BPI 2025 Diperpanjang hingga 29 September, Cek Lagi Syaratnya!",,Pendidikan
114,"Banyak Kasus Keracunan MBG di Sekolah, Begini Respons Presiden Prabowo",,Pendidikan
115,"Tips Sukses buat Esai Beasiswa: Harus Jujur, Personal, dan Bikin 'Malu'",,Pendidikan
116,Jangan Asal! Ini Pentingnya Berpikir Kritis Sebelum Pilih Kampus,,Pendidikan
117,"Kini, Daftar Beasiswa LPDP Afirmasi Dalam Negeri Tak Perlu Lagi Sertifikat Bahasa Inggris",,Pendidikan
118,"Beasiswa LPDP 2026 Buka Kuota 4.000 Mahasiswa, Bidang STEM Diprioritaskan",,Pendidikan
119,Mitos atau Fakta: Benarkah Kumis Kucing Terhubung ke Indra Penciuman?,,Pendidikan
120,Keren! 14 Dosen UGM Masuk Daftar Ilmuwan 2% Teratas Dunia Versi Stanford,,Pendidikan
121,"Kisah Kesaksian Sukitman, Pemberi Petunjuk Lokasi Korban G30S PKI",,Pendidikan
122,"3 Fenomena Astronomi yang Bakal Hiasi Langit Oktober 2025, Jangan Terlewat Ya!",,Pendidikan
123,"10 Negara Paling Inovatif di Asia, Indonesia Kalah dari Malaysia",,Pendidikan
124,Siapa Penemu HP? Ini Sejarah Awal dan Ponsel Pertama yang Diciptakan,,Pendidikan
125,Tujuan dan Kegunaan Tes Kemampuan Akademik (TKA) untuk Jenjang SD sampai SMA,,Pendidikan
126,Kedatangan Bangsa Belanda ke Indonesia: Sejarah & Latar Belakang dari VOC-Penjajahan,,Pendidikan
127,Terbatas! Promo Early Bird Kelas Sertifikasi BNSP RI Hanya di detikevent,,Pendidikan
128,"Ilmuwan Teliti Orang Tertua di Dunia Berusia 117 Tahun, Begini Rahasia Hidupnya",,Pendidikan
129,"Ukuran Pohon-pohon di Amazon Kian Membesar, Kabar Baik atau Buruk?",,Pendidikan
130,"Lulusan Ilmu Sosial-Manajemen di RI Jauh Mendominasi Bidang Lain, Cek Datanya!",,Pendidikan
131,Mengapa Indonesia Tidak Dilewati Topan? Ini Penjelasan Ilmiahnya,,Pendidikan
132,"Video Biomagnifikasi, Alasan Ikan Hiu Punya Kandungan Merkuri Tinggi",,Pendidikan
133,"Melihat Kiprah PKBM: Rangkul Anak Punk-Disabilitas, Latih IRT Berwirausaha",,Pendidikan
134,BRIN: Indonesia Peringkat Dua Cadangan Panas Bumi di Dunia,,Pendidikan
135,Video: RUU Sisdiknas Sudah Sampai Mana? Ini Kata Wamendikdasmen,,Pendidikan
136,BGN Jabarkan Rincian Jatah MBG Rp 15.000 Per Anak,,Pendidikan
137,"Yuk, Rayakan Hari Kesaktian Pancasila 2025 dengan 10 Twibbon Keren dan Kreatif Ini!",,Pendidikan
138,"SPBU Swasta Dibatasi, Pengamat Minta Pemerintah Buka Lagi Akses Impor BBM",,Pendidikan
139,"Google Rayakan Ultah ke-27, Si Mesin Pencarian Raksasa Lahir dari Mahasiswa",,Pendidikan
140,Strategi Sekolah-sekolah Hadapi TKA: Bedah Kisi-Kisi hingga Pembinaan Khusus,,Pendidikan
141,"KAI Properti Buka Lowongan untuk 11 Formasi, Cek Syaratnya!",,Pendidikan
142,"Nadi Suprapto, Satu-satunya Ilmuwan Asal Unesa yang Masuk Top 2% Peneliti Dunia 2025",,Pendidikan
143,"Aula Barat dan Timur ITB Diajukan Jadi Cagar Budaya Nasional, Ini Sederet Alasannya",,Pendidikan
144,"50 Contoh Gurindam Lengkap Berbagai Tema, Nasihat tentang Tuhan-Orang Tua",,Pendidikan
145,"Belajar Kelola RAB Proyek Real-Time, Studi Kasus Nyata dengan Software Accurate",,Pendidikan
146,"Melihat Pameran Karya Raya 2025, Tampilkan 1.850 Buku Karya Siswa SD-SMP",,Pendidikan
147,"Temuan Ribuan Telur Dinosaurus Berusia 86 Juta Tahun Lalu, Ilmuwan Ungkap Fakta Ini",,Pendidikan
148,Anak-Remaja Mau Terbitkan Buku? Kemenekraf Siap Fasilitasi,,Pendidikan
149,"RUU Sisdiknas Mau Diuji Publik, Wamendikdasmen Sebut Poin-poin Pentingnya",,Pendidikan
150,Apakah Siswa Tidak Ikut SNBP 2026 Harus Ikut TKA? Begini Penjelasannya,,Pendidikan
151,"Telkom University Buka Rekrutmen Dosen, Cek Syarat dan Batas Waktu Daftarnya!",,Pendidikan
152,Perpustakaan Jakarta Raih Rekor MURI Pencetak Buku Anak Terbanyak Tingkat Provinsi,,Pendidikan
153,"9 Dosen Unpad Masuk 2% Peneliti Teratas Dunia Versi Stanford, Ini Daftarnya",,Pendidikan
154,Nilai TKA Diusulkan buat Seleksi Masuk Akpol-Akmil,,Pendidikan
155,"Wamendikdasmen Sebut Semua Sekolah Termasuk yang Elite Dapat IFP, Kecuali Menolak",,Pendidikan
156,"Pendidikan dr Tan Shot Yen, Lulusan FKUI-Kampus Filsafat yang Kritik Menu MBG",,Pendidikan
157,"Guru Belum Prioritas, Hampir 30% Anggaran Pendidikan 2026 Dipakai untuk MBG",,Pendidikan
158,"Wamendikdasmen: Buta Aksara di Indonesia Masih 0,92%, Tahun Ini Semoga Tuntas",,Pendidikan
159,Ribuan Judul Buku Jadi Incaran Pengunjung IIBF ke-45,,Pendidikan
160,Tanggapan BGN Usai Menu MBG Dikritik: Sering Variasi Menu Permintaan Anak-anak,,Pendidikan
161,"157 Negara Akui Palestina, Dosen UGM Sorot Konsekuensinya",,Pendidikan
162,"Ramai Kasus Keracunan MBG Hiu Goreng, Apakah Manusia Bisa Makan Daging Hiu?",,Pendidikan
163,"Protes 'Stop Tot Tot Wuk Wuk', Pakar IPB: Potensi Pembangkangan Sipil",,Pendidikan
164,"15 Periset UI Masuk 2% Peneliti Teratas Dunia Versi Stanford, Siapa Saja?",,Pendidikan
165,"Keseruan ASEAN Robotic Day 2025, Bisa Tanding  Bola dengan Robot!",,Pendidikan
166,Pakar IPB Ungkap Bahaya Remaja Curhat ke AI: Bisa Bikin Ketergantungan!,,Pendidikan
