id,Judul Berita,Isi Berita,Kategori Berita
259,"JPPI Minta MBG Dihentikan, Kasus Keracunan Wujud Kesalahan Sistem",,Pendidikan
260,"Usulan buat RUU Sisdiknas, Bentuk PT Hanya Universitas dan Universitas Terapan",,Pendidikan
261,Lembaga Kajian Islam dan Sosial Minta RUU Sisdiknas Layani Penghayat Lebih Setara,,Pendidikan
262,"Kompetisi Robotik Madrasah 2025 Dibuka, Ini Ketentuan Pendaftarannya",,Pendidikan
263,"Tok! UU APBN 2026 Disahkan, Anggaran Pendidikan Rp 769,1 T",,Pendidikan
264,Kemdiktisaintek Pastikan Tukin Dosen ASN Juli-Agustus 2025 Cair,,Pendidikan
265,"Aturan Pidato di Sidang Umum PBB, Alasan di Balik Matinya Mikrofon Prabowo",,Pendidikan
266,"Sebut Alat Bukti Tak Cukup, Kuasa Hukum Nadiem Ajukan Praperadilan",,Pendidikan
267,Wamen Stella Sebut Penerimaan Sekolah Garuda Hanya Berdasarkan 3 Hal Ini,,Pendidikan
268,8 Ilmuwan UNDIP Masuk Daftar 2% Teratas Dunia Tahun 2025,,Pendidikan
269,"Deklarasi Balfour, Bagian Sejarah yang Diungkit Usai Inggris Akui Palestina",,Pendidikan
270,"Pendaftaran KJMU 2025 Tahap 2 Diperpanjang, Buruan Daftar!",,Pendidikan
271,Isi Pidato Prabowo di PBB Lengkap dengan Poin-poin tentang Palestina,,Pendidikan
272,"Arkeolog Temukan Harta Karun Kuno, Ungkap Kemewahan Rumah Elite Romawi",,Pendidikan
273,"5 Ilmuwan PTKIN Masuk Top 2% Dunia dari Stanford-Elsevier 2025, Cek Daftarnya!",,Pendidikan
274,"Beasiswa S1-Postdoc di Rusia 2026, Bisa Sambil Kerja",,Pendidikan
275,"5 PTN Ini Terima Mahasiswa Kedokteran Lewat Jalur Ketua OSIS, Ada Incaranmu?",,Pendidikan
276,Video Komisi X Minta Prabowo Naikkan Gaji Guru Honorer yang Penuhi Syarat,,Pendidikan
277,"8 Negara Terbaik untuk Pensiun di Asia, Indonesia Nomor Satu",,Pendidikan
278,"Pro-Kontra Wacana Satu Orang Satu Akun Medsos, Dosen Komunikasi Unair Bilang Begini",,Pendidikan
279,"Cara Cek Bantuan PIP Lewat HP, Mudah dan Cepat",,Pendidikan
280,"Angka Romawi: Sejarah, Fungsi, dan Daftar Penulisan 1-100",,Pendidikan
281,Video: Komisi X DPR RI Soroti Perkembangan Sekolah Garuda-Sekolah Rakyat,,Pendidikan
282,Video: Komisi X DPR Soroti Penurunan Jumlah Sekolah Negeri dari SD hingga SMA,,Pendidikan
283,Video: Komisi X DPR Soroti RI Belum Punya Roadmap Pendidikan yang Jelas,,Pendidikan
284,Prasasti Kuno Abad ke-6 Ungkap Dedikasi Kaisar Justinianus di Kosovo,,Pendidikan
285,Tinggal 1 Hari Lagi! Daftar Kelas 2 Jam Bisnis Melejit dengan CRM dari detikcourse,,Pendidikan
286,Video: Peran Baru Nilai TKA dalam Syarat Ikut SNBP 2026,,Pendidikan
287,Jam Berapa Waktu yang Ideal untuk Tidur?,,Pendidikan
288,"Ilmuwan Teriak, Jumlah Komodo di Dunia Tinggal 3.300 Ekor!",,Pendidikan
289,Mahasiswa Nepal di Luar Negeri Terhimpit Biaya Kuliah Usai Krisis Politik,,Pendidikan
290,Organisasi Politeknik RI Usul Hadirnya Universitas Terapan di UU Sisdiknas,,Pendidikan
291,"Beredar Link Unduh Sertifikat Sulingjar, Kemendikdasmen: Itu Hoaks!",,Pendidikan
292,"6 Tahun Terabaikan, SDN di Situbondo Biarkan Siswa Belajar di Ruang Rusak",,Pendidikan
293,Resmi! Lowongan Kerja Dilarang Syaratkan Penampilan Menarik hingga Tahan Ijazah,,Pendidikan
294,"Video Deklarasi Balfour Diungkit Setelah Inggris Akui Palestina, Apa Itu?",,Pendidikan
295,"Tidak Diwajibkan, Kemendikdasmen Tegaskan Daftar TKA Gratis!",,Pendidikan
296,Lolos SNBP 2026 tapi Tidak Diambil? Siap-siap Kena Blacklist!,,Pendidikan
297,Kapan CPNS 2025 Dibuka? Wajib Tahu Info Awal Ini Biar Nggak Telat Daftar,,Pendidikan
298,"Profil Pendidikan Wapres Gibran Kembali Disorot, 2 Kali Lanjut SMA di LN",,Pendidikan
299,"Kisah Sifan Hampir Jadi Juru Parkir, Selamat karena Masuk Sekolah Rakyat",,Pendidikan
300,"TKA Jadi Ujian Penentuan Kelulusan Murid Pendidikan Informal, Pahami Yuk!",,Pendidikan
301,"Peneliti BRIN Prediksi Ketersediaan Air di IKN, Seperti Apa Hasilnya?",,Pendidikan
302,"Rekrutmen Pa PK TNI 2025 Dibuka untuk Lulusan D4, S1, hingga S2, Ini Syarat IPK-nya",,Pendidikan
303,Perbandingan Guru PNS dan Guru Honorer: Gaji hingga Tunjangan,,Pendidikan
304,"Ilmuwan Kenalkan Kepribadian Baru Otrovert, Bukan Introvert atau Extrovert",,Pendidikan
305,"Wujud Baju Astronaut Ciptaan Peneliti Indonesia, Irmandy Wicaksono",,Pendidikan
306,Apa Itu Tax Amnesty yang Ditolak Menteri Purbaya? Ini Penjelasannya,,Pendidikan
307,"Kisah Abida, Anak Pedagang yang Hafal 30 Juz dan Raih Beasiswa Kuliah",,Pendidikan
308,"Karya-karya Irmandy Wicaksono, Salah Satu Top 35 Inovator Global Versi Media MIT",,Pendidikan
309,Video: Nilai TKA Bersifat Wajib Dipegang Siswa Buat SNBP 2026,,Pendidikan
310,"Magang Nasional 2025 Khusus Fresh Graduate: Syarat, Gaji, dan Jadwal",,Pendidikan
311,Begini Cerita Irmandy Jadi Dosen di NUS dan Punya Lab Riset Sendiri,,Pendidikan
312,Video: Cerita Para Ilustrator Bikin Buku Cerita Anak,,Pendidikan
313,Apakah Sertifikat TKA Punya Masa Berlaku? Kemendikdasmen Jawab Begini,,Pendidikan
314,"Kebijakan Sekolah-Sekolah Swasta soal TKA, Semua Siswa Ikut?",,Pendidikan
315,"Daftar Presiden RI yang Pidato di Sidang Umum PBB, Prabowo Menyusul",,Pendidikan
316,10 Prompt Gemini AI Bahasa Indonesia untuk Edit Foto,,Pendidikan
317,"6 Kebiasaan yang Bikin Mental Sehat, Sudah Kamu Lakukan?",,Pendidikan
318,"Ini Dia 10 Dampak Positif Globalisasi bagi Pendidikan, Ekonomi, dan Budaya",,Pendidikan
319,"Suasana Hari Pertama Sekolah di Baghdad, Siswa Antusias Sambut Tahun Ajaran Baru",,Pendidikan
320,Bulan Semakin Menjauh dari Bumi? Ini Penjelasan Ilmiahnya,,Pendidikan
321,Peneliti Indonesia Irmandy Wicaksono Masuk Top 35 Inovator Global Versi Media MIT,,Pendidikan
322,Bolehkah Melihat Gerhana Matahari Parsial Secara Langsung?,,Pendidikan
323,"Rekor Penyelam Tahan Napas sampai 29 Menit di Dasar Kolam, Kok Bisa?",,Pendidikan
324,Video: Rano Karno Sebut Minat Baca Warga Jakarta Tinggi tapi Terkendala Waktu,,Pendidikan
325,"7 Ilmuwan Unhas Masuk Top 2% Dunia, Rektor: Kontribusi Nyata Pengetahuan",,Pendidikan
326,"BMKG Ungkap Penyebab Gempa Bogor-Sukabumi, Beruntun 29 Kali!",,Pendidikan
327,Video: Pemprov DKI Jakarta-Maluku Kolaborasi di Festival Literasi dan Iklim,,Pendidikan
328,"Prediksi Cuaca Hujan 21-23 September 2025 Berbagai Daerah, Lebat hingga Sangat Lebat",,Pendidikan
329,"Gerhana Matahari Parsial 21 September 2025, Bisa Dilihat dari Indonesia?",,Pendidikan
330,"10 Negara dengan Harga Bensin Termurah di Dunia, Ada Tetangga RI",,Pendidikan
331,"Daftar Hari Libur Nasional dan Cuti Bersama 2026, Ada 9 Long Weekend",,Pendidikan
332,"6 Langkah Pilih Jurusan yang Sesuai untuk SNBP 2026 dari Kemendikdasmen, Catat!",,Pendidikan
333,"10 Buku Seni Negosiasi yang Ubah Cara Komunikasi, Panduan dari FBI hingga Harvard",,Pendidikan
334,"Ada Lowongan Kerja Non-ASN di Kemenko PM, Lulusan Ini Bisa Daftar",,Pendidikan
335,Skandal Akademik Terkuak! Ada Praktik Curang Publikasi Riset Matematika,,Pendidikan
336,"Tugas Akhir Guru Penerima Bantuan Kuliah S1/D4 Tak Harus Skripsi, Lalu Apa?",,Pendidikan
337,"Meski Cuek, Ternyata Kucing Diam-diam Mengenali Bau Pemiliknya",,Pendidikan
338,"Menangis di Kelas, Siswi SD Paya Baro Hadapi Penutupan Sekolah",,Pendidikan
339,"Siswa Eligible Wajib Punya Nilai TKA, Koordinator SNBP: Tak Cuman Daftar Saja!",,Pendidikan
340,Taliban Larang 18 Mata Kuliah Diajarkan di Seluruh Kampus Afghanistan,,Pendidikan
341,"Usulan Makan Bergizi Gratis Jadi Uang Tunai, JPPI: Langkah Baik Tapi Banyak Risiko",,Pendidikan
342,"Kenalan dengan Profesi Programmer hingga Atlet, Begini Parents Day SMP Labschool Kebayoran",,Pendidikan
343,"Daftar Tanggal Merah 2026, Catat untuk Rencanakan Liburan Sekolah!",,Pendidikan
344,"Gerhana Matahari Parsial Bakal Terjadi 21-22 September, Bisa Ditonton Online!",,Pendidikan
345,"Swedia Susul Negara Lain Larang Penggunaan HP di Sekolah, Ini Tujuannya",,Pendidikan
346,Kemendikdasmen Ingin PIP PAUD Bisa Terdanai di APBN 2026: Sudah Ada Kajiannya,,Pendidikan
347,"Ada 9 Long Weekend di Jadwal Hari Libur Nasional-Cuti Bersama 2026, Cek!",,Pendidikan
348,Beasiswa Pendidikan Indonesia untuk Guru dan Tenaga Kependidikan 2025 Dibuka!,,Pendidikan
349,"Cerita Raihan Ingin Jadi Penerbang, Dapat Ilmu Langsung dari Pilot",,Pendidikan
350,Infografis: Sebaiknya Ikut TKA atau Tidak?,,Pendidikan
351,UI Luluskan 1 dan Terima 3 Mahasiswa Asal Palestina,,Pendidikan
352,Seleksi Administrasi PPG Bagi Guru Tertentu Periode 3/2025 Dibuka! Kuota 81 Ribu,,Pendidikan
353,Ketika Siswa Belajar Tata Negara hingga Industri Fashion dari Pakarnya-Orang Tua,,Pendidikan
354,Kontroversi Undang Pro-Zionis Bikin Gus Yahya Dipetisi-UI Dirikan Palestine Center,,Pendidikan
355,Video: Kemendikdasmen Targetkan 12.500 Guru PAUD-SD Bakal Dapat Bantuan S-1,,Pendidikan
356,Video Kemendikdasmen: Masih Ada 233 Ribu Guru Belum S1,,Pendidikan
357,Warga Binaan Lapas Pemuda Tangerang Nikmati Layanan Baca dari Perpustakaan Keliling,,Pendidikan
358,"Yurike Sanger Wafat, Ini Sejarah Hidupnya sebagai Istri ke-7 Sukarno",,Pendidikan
359,"UI Palestine Center Jadi Pusat Kajian Palestina Lintas Bidang-Kampus, Apa Outputnya?",,Pendidikan
360,Peneliti BRIN Ingatkan 29 Pulau di Kepulauan Seribu Terancam Hilang,,Pendidikan
361,8 Mahasiswa Politeknik Ketenagakerjaan Raih Penghargaan di Ajang IPEC 2,,Pendidikan
362,PTN-PTS Indonesia Ini Masuk Kampus Terbaik di Bidang Sains Versi THE WUR 2025,,Pendidikan
363,"4 Sekolah Bisnis Terbaik di Indonesia Versi QS Global MBA 2026, Nomor 1 Binus",,Pendidikan
364,"17 Hari Libur Nasional-8 Cuti Bersama Tahun 2026 Ditetapkan, Ini Daftarnya",,Pendidikan
365,Pengawasan Kualitas Makan Bergizi Gratis Jadi Sorotan,,Pendidikan
366,"Wajib Belajar 13 Tahun, Apakah PAUD akan Mengeluarkan Ijazah?",,Pendidikan
367,Link Unduh Format Surat Pernyataan 5 Poin PPPK Paruh Waktu 2025,,Pendidikan
368,8 Pernyataan Sikap Guru Besar RI: Wujudkan Palestina Merdeka-Reformasi DK PBB,,Pendidikan
369,"Ketua MWA UI Dipetisi karena Undang Akademisi Pro-Zionis, Apa Kata Rektor?",,Pendidikan
370,"Beredar Info Donasi Banjir Bali Dikenakan ke Guru-Staf Sekolah, Diklaim Sukarela",,Pendidikan
371,"UI Palestine Center Diluncurkan, Dukungan Nyata untuk Kemerdekaan Palestina",,Pendidikan
372,"Guru Penerima Beasiswa S1/D4 Wajib Lulus Tepat Waktu, Kalau Tidak?",,Pendidikan
373,"Cara Mengisi DRH PPPK Paruh Waktu, Siapkan Dokumen Ini Dulu!",,Pendidikan
374,"Perilaku Hidup Sehat Orang Utan Ini Patut Ditiru, Begini Kata Pakar",,Pendidikan
375,"Nabire Papua Tengah Diguncang Gempa M 6,5, Penyebabnya Sesar Anjak Weyland",,Pendidikan
376,Guru Penerima Bantuan Kuliah S1/D4 akan Diafirmasi Ikut PPG,,Pendidikan
377,Binus Business School Raih Peringkat 1 Se-Indonesia Versi QS Global MBA Rankings 2026,,Pendidikan
378,"20 Kampus Teknologi Terbaik di Asia, Empat dari India",,Pendidikan
379,"Presiden Prabowo Rencanakan Kenaikan Gaji ASN Guru, Dosen, hingga Pejabat Negara",,Pendidikan
380,"Gaji PPPK Paruh Waktu Tahun 2025, Tertinggi Rp 5,3 Juta",,Pendidikan
381,"Banyak Guru PAUD-SD Belum S1/D4, Kemendikdasmen Sebut Alasannya",,Pendidikan
382,"Tok! Daftar 52 RUU Prolegnas Prioritas 2025, RUU Sisdiknas Masuk",,Pendidikan
383,"Rekrutmen TNI AD 2025 Bintara-Tamtama: Syarat, Jadwal, dan Cara Daftar",,Pendidikan
384,"TKA Jadi Validator SNBP, Pakar: Jangan Cemas, Anggap sebagai Feedback Belajar",,Pendidikan
385,"10 Negara Terbaik untuk Kehidupan Pensiun, Indonesia Nomor Berapa?",,Pendidikan
386,Infografis: Ketentuan Baru SNBP 2026,,Pendidikan
387,"Rekrutmen TNI AL 2025 Tamtama-Bintara, Minimal Lulusan SMA",,Pendidikan
388,"Kalimat Intransitif: Pengertian, Ciri-Ciri, dan 15 Contohnya",,Pendidikan
389,"Permintaan Maaf Gus Yahya, Usulkan Pembicara Pro-Zionis untuk Acara UI",,Pendidikan
390,"Sekolah Rusak Imbas Banjir, Siswa SD Bone Raya Belajar di Masjid",,Pendidikan
391,"Link Pengumuman OMI Kemenag 2025, Siswa Madrasah Cek Nih",,Pendidikan
392,"Viral Siswa SMK dan Adik yang SMP Gantian Seragam-Sepatu di Bogor, Berujung Begini",,Pendidikan
393,"Terbangun Jam 3 Pagi, Begini Sebab dan Cara Menguranginya",,Pendidikan
394,"Pendaftaran KJMU 2025 Tahap 2 Dibuka, Mahasiswa Dapat Bantuan Rp 9 Juta Per Semester",,Pendidikan
395,"Alumni Tanoto Foundation Bikin Situs untuk Panti Asuhan, Donasi Jadi Lebih Tepat",,Pendidikan
396,"Alasan Ular Suka Masuk Rumah saat Musim Hujan, Nggak Cuma Berteduh",,Pendidikan
397,Pakar UM Surabaya Analisis Gaya Komunikasi Menteri: Menteri Ini Paling Santai,,Pendidikan
398,"Cegah Pemalsuan, Kini PTN-PTS Berlakukan Sistem Ijazah Digital",,Pendidikan
399,Video Kelakar Pramono di Acara Wisuda Lansia: Ada yang Ketemu Jodohnya?,,Pendidikan
400,"Negara Pertama yang Menjajah Indonesia Ternyata Bukan Belanda, Ini Sejarahnya",,Pendidikan
401,"Pengaturan Skor Bulutangkis seperti Cerita Berulang, Butuh Ketegasan",,Olahraga
402,Video: Momen Marquez Diserbu Warga saat Tiba di Lombok,,Olahraga
403,Video Saat Bagnaia Cs 'Bengong' Diajak Joget Tabola-bale,,Olahraga
404,"Audisi Umum PB Djarum 2025 Masuk Tahap Akhir, Ini 28 Peserta yang Terpilih",,Olahraga
405,150 Pegolf Dunia Ramaikan JAKIC 2025 di Jakarta,,Olahraga
406,"MotoGP Mandalika Spesial untuk Alex Marquez, Akan Berjuang Raih Podium!",,Olahraga
407,Rider Indonesia Veda Ega Pratama Dipantau Gresini Racing,,Olahraga
408,Marc Marquez Belum Siap Pensiun,,Olahraga
409,"Festival Lari Indoor dengan Vibes Lifestyle Seru, Ikuti RunBeat in The Mall 2025",,Olahraga
410,Video Saat Quartararo dan Alex Rins 'Blusukan' ke SMAN 2 Mataram,,Olahraga
411,MotoGP Mandalika 2025: Apa Target Marc Marquez?,,Olahraga
412,PB Djarum Benarkan Dugaan Atletnya Kena Pengaturan Skor,,Olahraga
413,PBSI Baru Dengar Kabar Kasus Pengaturan Skor yang Libatkan Atlet,,Olahraga
414,Mandalika yang Hijau Sambut Para Rider,,Olahraga
415,Saat Presiden Prabowo Minta Mario Aji dan Veda Ega Contoh Marc Marquez,,Olahraga
416,"Momen Menpora Makan Siang sama Rossi, lalu Temani Marquez Ketemu Prabowo",,Olahraga
417,"Soal Rencana Nikah, Marc Marquez: Tanya Gemma Saja",,Olahraga
418,"Marc Marquez Maunya Lanjut Liburan di Mandalika, tapi...",,Olahraga
419,"Video Prabowo Sambut Marc Marquez di Istana: Hola, Se̱or",,Olahraga
420,KORMI DKI Lepas Oscar Tamio dan Akira Yenandhira Tampil di Malaysia,,Olahraga
421,Ranking Fajar/Fikri Naik 15 Tingkat Usai Jadi Runner Up Korea Open 2025,,Olahraga
422,Video Marc Marquez Siap Berlaga di Mandalika: Saya Akan Menikmatinya,,Olahraga
423,"Marc Marquez Ketemu Presiden Prabowo, Ini yang Dibahas",,Olahraga
424,Ratusan Perenang Taklukkan Laut Dakar Menuju Pulau Bersejarah Goree,,Olahraga
425,"Marc Marquez Tiba di Indonesia, Ketemu Presiden Prabowo di Istana Negara",,Olahraga
426,"Bos Ducati: Marc Marquez yang Terbaik di MotoGP, tapi...",,Olahraga
427,Kejurnas Atlet Veteran Tenis Perebutkan Piala Menpora di Yogyakarta,,Olahraga
428,"Video Logistik MotoGP Mendarat di Lombok, Langsung Diangkut ke Mandalika",,Olahraga
429,"10 Lifter RI Tampil di Kejuaraan Dunia Angkat Besi, Ada 'Perang Saudara'",,Olahraga
430,3 Rekomendasi Olahraga Beginner Friendly untuk Dicoba!,,Olahraga
431,"Marc Marquez Tiba di Jakarta, Sapa Fans Pakai Bahasa Indonesia",,Olahraga
432,"Krisna Bayu Temui Ibas, Bahas Kejuaraan Dunia Sambo Remaja dan Junior",,Olahraga
433,MotoGP 2025: Alex Marquez Kecewa Gagal Tunda Pesta Marc Marquez di Motegi,,Olahraga
434,"KTM Jeblok di Motegi, Bidik Podium di Mandalika",,Olahraga
435,Ketika Greysia Polii Jadi 'Pelatih' Dadakan,,Olahraga
436,Karena MotoGP Mandalika 2025 Bukan Sekadar Balapan Biasa,,Olahraga
437,Video: Momen Pecco Bagnaia hingga Bastianini Tiba di Lombok,,Olahraga
438,Mandalika Siapkan Kejutan untuk Juara Dunia MotoGP 2025,,Olahraga
439,"Yuk Lari Sambil Seru-seruan di Nuanu Fun Run 2025, Ada Games-Doorprize!",,Olahraga
440,"Nuanu Fun Run 2025 Siap Digelar, Penuh Kostum Lucu & Hiburan Seru",,Olahraga
441,Potret Kedatangan Pembalap MotoGP di Bandara Lombok Jelang Seri Mandalika,,Olahraga
442,Video: Erick Thohir Usulkan Dana Pensiun Atlet-Pelatih Berprestasi,,Olahraga
443,Sensasi Lari Indoor Seru Bareng RunBeat in The Mall 2025 di TSM Cibubur,,Olahraga
444,Video: Erick Thohir Ungkap Prabowo Mau Evaluasi-Transformasi Total Kemenpora,,Olahraga
445,Momen Rapat Perdana Menpora Erick Thohir dengan Komisi X DPR,,Olahraga
446,"Sudah Kunci Juara Dunia, Marc Marquez Kini 'Ditantang' Sirkuit Mandalika",,Olahraga
447,Canda Quartararo ke Marquez: Besok Pelan-pelan ya Balapannya,,Olahraga
448,"Marc Marquez Mau Dikenang sebagai Sosok Inspiratif, Bukan GOAT",,Olahraga
449,Pelatih di PBSI Pastikan Tak Rombak Ganda Putri Lagi hingga Olimpiade,,Olahraga
450,Jadwal MotoGP Mandalika 2025: Balapan di Indonesia Akhir Pekan Ini,,Olahraga
451,"Bagi Marquez yang Terpenting Bukan Samai Trofi Rossi, tapi...",,Olahraga
452,"Timnas Basket 3x3 U-17 Putri Juara, Ukir Sejarah di Singapura",,Olahraga
453,"WEC 2025: Dapat Penalti, United Autosports 95 Cuma Finis ke-11",,Olahraga
454,Alex Marquez: Aku Paling Tahu Penderitaan Marc Marquez,,Olahraga
455,Video Tangis Marquez Juara Dunia Usai 100 Crash dan 4 Kali Operasi,,Olahraga
456,Marquez Sempat Takut Lihat Motor Bagnaia Berasap,,Olahraga
457,3 Kategori Lari yang Cocok untuk Pemula hingga Pro,,Olahraga
458,Jumlah Gelar Juara Dunia MotoGP: Marc Marquez Samai Rossi,,Olahraga
459,Video: Momen Bagnaia Membalap dengan Motor Berasap,,Olahraga
460,Video Marc Marquez: Didera Cedera hingga Juara Dunia,,Olahraga
461,"Video: Marquez Kini Sejajar Rossi, Cuma Kalah dari Giacomo Agostini",,Olahraga
462,"Marc Marquez Kini Tahu Rasanya Sukses dengan 'Berdarah-darah""",,Olahraga
463,"Fun Run Kian Ramai, Demi Gaya Hidup Sehat",,Olahraga
464,IDH Urban Seri 2 Janjikan Keseruan Lintasan Highspeed,,Olahraga
465,"Presiden Gimnastik Internasional Berduka, Sambangi Keluarga Naufal",,Olahraga
466,Lantian Juan Berjaya di Putaran Keempat Trial Game Dirt 2025,,Olahraga
467,Hasil Korea Open 2025: Tuan Rumah Rebut 2 Gelar Juara,,Olahraga
468,Fajar/Fikri Sudah Maksimal,,Olahraga
469,Semringah Marc Marquez Rayakan Gelar MotoGP Ketujuh,,Olahraga
470,Bagnaia Selamati Marc Marquez: Tunggu Perlawananku di Musim Depan,,Olahraga
471,Potret Semangat Ribuan Pelari Bikin Jakarta Jadi Ungu,,Olahraga
472,Gelar Juara yang Sangat Berarti Bagi Jonatan Christie,,Olahraga
473,"Video Selebrasi Marc Marquez, Sempat Bingung Pasang Plakat Juara MotoGP",,Olahraga
474,Gelar Juara yang Sangat Berarti Bagi Jonatan Christie,,Olahraga
475,Erick Thohir ke Para Karyawan Kemenpora: Mau Berubah Nggak?,,Olahraga
476,Air Mata Juara Dunia Marc Marquez,,Olahraga
477,Perjalanan Jonatan Christie Akhirnya Juara Korea Open 2025,,Olahraga
478,"Marc Marquez Kampiun 2025, Ini Daftar Juara Dunia MotoGP",,Olahraga
479,Hasil Korea Open 2025: Fajar/Fikri Runner-up Usai Kalah dari Kim/Seo,,Olahraga
480,Klasemen MotoGP 2025 Usai Marc Marquez Kunci Titel Juara,,Olahraga
481,Marc Marquez Kini Sejajar Valentino Rossi,,Olahraga
482,Hasil Korea Open 2025: Jonatan Juara Usai Kalahkan Antonsen,,Olahraga
483,Momen-momen Kunci Marc Marquez Juara Dunia MotoGP 2025 di Motegi,,Olahraga
484,Marc Marquez Juara Dunia MotoGP 2025!,,Olahraga
485,"Hasil MotoGP Jepang 2025: Marc Marquez Finis Kedua, Tetap Jadi Juara Dunia!",,Olahraga
486,"MotoGP Jepang 2025: Marc Marquez Lewati Acosta, Kejar Bagnaia",,Olahraga
487,"MotoGP Jepang 2025: Bagnaia Sulit Terkejar, Marquez Dibayangi Mir",,Olahraga
488,"MotoGP Jepang 2025: Bagnaia Nyaman Terdepan, Marquez Belum Menyerang",,Olahraga
489,"MotoGP Jepang 2025: Balapan Dimulai, Bagnaia Terdepan Marquez Ketiga!",,Olahraga
490,"Link Live Streaming MotoGP Jepang 2025, Marquez Bisa Kejar Rekor Rossi?",,Olahraga
491,Jadwal MotoGP Jepang 2025: Marc Marquez di Ambang Juara Hari Ini!,,Olahraga
492,Jadwal Final Korea Open 2025: RI Berpeluang Raih 2 Gelar,,Olahraga
493,Video: Skenario Marc Marquez Kunci Gelar Juara Dunia di Jepang,,Olahraga
494,WEC 2025: Sean dan United Autosports 95 Start Kedua di Fuji,,Olahraga
495,MotoGP 2025: Alex Marquez Sadar Susah Bersaing di Motegi,,Olahraga
496,Korea Open 2025: Tekad Juara Fajar/Fikri,,Olahraga
497,MotoGP 2025: Bagnaia Merasa Kembali ke Performa Terbaik,,Olahraga
498,Agresifnya Alwi Bikin Kaget Jonatan Christie,,Olahraga
499,Besok Marc Marquez Samai Valentino Rossi?,,Olahraga
500,Video: Bagnaia Pemenang Sprint Race MotoGP Jepang 2025,,Olahraga
501,Hasil Korea Open 2025: Putri Dikalahkan Akane Yamaguchi di Semifinal,,Olahraga
502,Hasil Korea Open 2025: Fajar/Fikri Tembus Final,,Olahraga
503,Skenario Marc Marquez Juara Dunia MotoGP 2025 di Motegi Besok,,Olahraga
504,"Besok, Marc Marquez Bisa Jadi Juara Dunia MotoGP 2025",,Olahraga
505,Klasemen MotoGP 2025: Marc Marquez di Ambang Gelar Juara Dunia!,,Olahraga
506,Hasil Sprint Race MotoGP Jepang 2025: Bagnaia Pemenangnya!,,Olahraga
507,"MotoGP Jepang: Sprint Race Start, Martin-Bezzecchi Langsung Out",,Olahraga
508,"Hasil Korea Open 2025: Sengit, Jonatan ke Final usai Kalahkan Alwi!",,Olahraga
509,Jadwal MotoGP Jepang 2025: Sprint Race Hari Sabtu Pukul 13.00 WIB,,Olahraga
510,Kualifikasi MotoGP Jepang 2025: Pole Position Milik Bagnaia,,Olahraga
511,Pedro Acosta Kuasai FP2 MotoGP Jepang 2025,,Olahraga
512,Jadwal Korea Open 2025: 5 Wakil Indonesia di Semifinal,,Olahraga
513,Video: Pecah Rekor! Aksi Skaters Brasil Meluncur dari Gedung 22 Lantai,,Olahraga
514,Makin Rame! Kumpul Lagi Bareng Komunitas Padel Hits Jakarta di Padel Connect,,Olahraga
515,"Langit Telomoyo Jadi Arena Adu Terbang, 34 Atlet Gantole Unjuk Gigi",,Olahraga
516,WEC 2025: Dua Misi United Autosports 95 di Sesi FP 6 Hours of Fuji,,Olahraga
517,"Korea Open 2025: Jumpa Akane Lagi, Putri Bertekad 'Pecah Telur'",,Olahraga
518,Korea Open 2025: Alwi Wujudkan Mimpi Tanding Lawan Jonatan,,Olahraga
519,"Disebut GOAT MotoGP, Marc Marquez Menolak!",,Olahraga
520,"Hasil Korea Open 2025: Putri Menang, Indonesia Kirim 5 Wakil ke Semifinal",,Olahraga
521,"Hasil Korea Open 2025: Alwi Menang Comeback, Tantang Jonatan di Semifinal",,Olahraga
522,Hasil Korea Open 2025: Jonatan Melaju Mulus ke Semifinal,,Olahraga
523,Hasil Practice MotoGP Jepang 2025: Bezzecchi Tercepat!,,Olahraga
524,Hasil Korea Open 2025: Fajar/Fikri Singkirkan Wakil Tuan Rumah,,Olahraga
525,Hasil Korea Open 2025: Amri/Nita Tembus Semifinal,,Olahraga
526,Atlet Gimnastik Muda Indonesia Naufal Meninggal Dunia di Rusia,,Olahraga
527,Hasil FP1 MotoGP Jepang 2025: Bagnaia Ungguli Martin dan Marc Marquez,,Olahraga
528,Jadwal Korea Open 2025: 5 Wakil RI Tampil di Perempatfinal Hari Ini,,Olahraga
529,"Jadi Manajer Virtual di FPL Mansion Sports FC 2025, Ada Hadiah Rp 88 Juta",,Olahraga
530,"Boris Becker Kasih Saran buat Lamine Yamal, Sebut 'Alarm Peringatan'",,Olahraga
531,"Rowing Indonesia Rebut Perak, Ukir Sejarah di Kejuaraan Dunia 2025",,Olahraga
532,WEC 2025: Fuji Spesial untuk Sean Gelael,,Olahraga
533,Korea Open 2025: Putri KW Lolos ke 8 Besar,,Olahraga
534,"Video D'HATTRICK: Bocah Ajaib dari Turki, Siapa Dia?",,Olahraga
535,Hasil Korea Open 2025: Fajar/Fikri Tembus Perempatfinal,,Olahraga
536,"Mungkinkah Bagnaia Gabung Aprilia, Jorge Martin ke Ducati di 2026?",,Olahraga
537,Hasil Korea Open 2025: Jonatan Christie Lanjut ke Perempatfinal,,Olahraga
538,"Kandas di Korea Open 2025, Ginting Kirim Unek-unek ke BWF",,Olahraga
539,Korea Open 2025: Anthony Ginting Dijegal Kenta Nishimoto,,Olahraga
